
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.00741384  0.0860861  0 
-0.00674022  0.0820821  0 
-0.00609868  0.0780781  0 
-0.00548921  0.0740741  0 
-0.00491182  0.0700701  0 
-0.00436651  0.0660661  0 
-0.00385327  0.0620621  0 
-0.00337211  0.0580581  0 
-0.00292303  0.0540541  0 
-0.00250603  0.0500501  0 
-0.0021211  0.046046  0 
-0.00176825  0.042042  0 
-0.00144748  0.038038  0 
-0.00115879  0.034034  0 

-0.838227  0.498498  0 
-0.834772  0.502503  0 
-0.83129  0.506507  0 
-0.828283  0.509937  0 
-0.827675  0.510511  0 
-0.823397  0.514515  0 
-0.819085  0.518519  0 
-0.81474  0.522523  0 
-0.810362  0.526527  0 
-0.805951  0.530531  0 
-0.801506  0.534535  0 
-0.797027  0.538539  0 
-0.792515  0.542543  0 
-0.78797  0.546547  0 
-0.787879  0.546626  0 
-0.782276  0.550551  0 
-0.776517  0.554555  0 
-0.770717  0.558559  0 
-0.764875  0.562563  0 
-0.758991  0.566567  0 
-0.753066  0.570571  0 
-0.747475  0.574322  0 
-0.746982  0.574575  0 
-0.739119  0.578579  0 
-0.731201  0.582583  0 
-0.723228  0.586587  0 
-0.715201  0.590591  0 
-0.70712  0.594595  0 
-0.707071  0.594619  0 
-0.695649  0.598599  0 
-0.684081  0.602603  0 
-0.672436  0.606607  0 
-0.666667  0.608577  0 
-0.656929  0.610611  0 
-0.637627  0.614615  0 
-0.626263  0.616957  0 
-0.606234  0.618619  0 
-0.585859  0.620299  0 
-0.545455  0.619007  0 
-0.542654  0.618619  0 
-0.513932  0.614615  0 
-0.505051  0.613368  0 
-0.493572  0.610611  0 
-0.477014  0.606607  0 
-0.464646  0.603596  0 
-0.461695  0.602603  0 
-0.449878  0.598599  0 
-0.43814  0.594595  0 
-0.42648  0.590591  0 
-0.424242  0.589817  0 
-0.416784  0.586587  0 
-0.407602  0.582583  0 
-0.398483  0.578579  0 
-0.389427  0.574575  0 
-0.383838  0.572087  0 
-0.380959  0.570571  0 
-0.373407  0.566567  0 
-0.365908  0.562563  0 
-0.358462  0.558559  0 
-0.35107  0.554555  0 
-0.343731  0.550551  0 
-0.343434  0.550388  0 
-0.337293  0.546547  0 
-0.330937  0.542543  0 
-0.324629  0.538539  0 
-0.318367  0.534535  0 
-0.312152  0.530531  0 
-0.305984  0.526527  0 
-0.30303  0.524595  0 
-0.300168  0.522523  0 
-0.294681  0.518519  0 
-0.289236  0.514515  0 
-0.283833  0.510511  0 
-0.278472  0.506507  0 
-0.273153  0.502503  0 
-0.267877  0.498498  0 
-0.262643  0.494494  0 
-0.257851  0.49049  0 
-0.2531  0.486486  0 
-0.248387  0.482482  0 
-0.243713  0.478478  0 
-0.239079  0.474474  0 
-0.234483  0.47047  0 
-0.229926  0.466466  0 
-0.225409  0.462462  0 
-0.222222  0.459614  0 
-0.221009  0.458458  0 
-0.216842  0.454454  0 
-0.212711  0.45045  0 
-0.208617  0.446446  0 
-0.204559  0.442442  0 
-0.200538  0.438438  0 
-0.196554  0.434434  0 
-0.192606  0.43043  0 
-0.188695  0.426426  0 
-0.18482  0.422422  0 
-0.181818  0.419291  0 
-0.181022  0.418418  0 
-0.177402  0.414414  0 

-0.992316  0.122122  0 
-0.991834  0.126126  0 
-0.991336  0.13013  0 
-0.990823  0.134134  0 
-0.990294  0.138138  0 
-0.989899  0.141045  0 
-0.98973  0.142142  0 
-0.989096  0.146146  0 
-0.988445  0.15015  0 
-0.987776  0.154154  0 
-0.98709  0.158158  0 
-0.986385  0.162162  0 
-0.985664  0.166166  0 
-0.984924  0.17017  0 
-0.984167  0.174174  0 
-0.983393  0.178178  0 
